讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2017-12-13(Wednesday)12:30-13:30,Yang Ji,"                                            Assistant Professor, the School of Economics, Xiamen University.",Does deposit insurance make financial system less stable?,"N302, Econ Building",                                                                
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2017-12-12(Tuesday)16:40-18:00,Chuan Yang Hwang,"                                            Chuan Yang Hwang is currently a professor of finance and the director of the PhD program at Nanyang Business School, Nanyang Technological University. Professor Hwang holds a PhD from UCLA. Before joining Nanyang Technological University, he taught at University at California at Irvine, University of Pittsburgh and Hong Kong University of Science and Technology. Professor Hwang has published articles in leading finance journals such as the Journal of Finance, the Review of Financial Studies, and the Journal of Financial and Quantitative Analysis. His research interests are investment and corporate finance. Some of his research has been featured in business publications such as the Wall Street Journal. Prof. Hwang's areas of expertise are investment and corporate finance. His current research works focus on information risk and distress risk.",Is Market Necessarily More Efficient in Liquid Stocks? Evidence from th...,"N302, Econ Building","                                                                We use the distress anomaly as a setting to investigate the relationship between liquidity and market efficiency. We document the counterintuitive result that market is less efficient in liquid stocks. A strategy of taking a long position on stocks in the low distress quintile and shorting stocks in the high distress quintile would earn a Fama-French three-factor adjusted return of 0.84% per month for illiquid stocks, while the same strategy would earn a significantly higher return of 1.86% per month for liquid stocks. While investors&rsquo; preference for the jackpot type of payoffs inherent in high distress stocks alone explains the distress anomaly of illiquid stocks, it cannot not explain the difference of the anomaly between &nbsp; liquid and illiquid stocks. Earnings announcement tests show that the difference in better explained by the pricing errors resulted from favorite-longshot bias of noise traders. Our results support the view that there is greater noise trading in liquid stocks, which not only generates greater pricing errors in the distress stocks but also greater limits to arbitrage as described in Shleifer and Summers (1990) and Shleifer and Vishny (1997).&nbsp;"
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2017-12-11(Monday)16:40-18:00,Biung-Ghi Ju,"                                            Professor at Department of Economics, Director at Center for Distributive Justice, Seoul National University. Editor of Journal of Institutional and Theoretical Economics. He earned his PhD. of Economics from University of Rochester. His research interest includes Economic Theory, Microeconomics, Public Finance, Political Economy, Mechanism Design.&nbsp;Please seeProf. Ju's CVfor more information.",Taxation Behind The Veil of Ignorance,"N302, Econ Building","                                                                We explore the design of impartial tax schemes when agents&rsquo; incomes are completely determined by their inborn talents. Building on Harsanyi&rsquo;s veil-of-ignorance approach, we conceptualize an impar-tial observer who chooses a tax scheme without knowing her own vNM utility function, and the distribution of talents, and whose vNM prefer-ences behind the veil obey Harsanyi&rsquo;s principle of acceptance and are independent of the distribution of talents. Our results in the resulting framework provide three main messages: (i) the veil of ignorance im-plies anonymity of tax schemes; (ii) the veil of ignorance generically rejects utilitarian tax schemes; (iii) the veil of ignorance endorses the (Rawlsian) leveling tax scheme."
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2017-12-08(Friday)14:00-17:15,XMU-Monash Faculty,                    ,XMU-Monash Workshop,C208,"                                                                table align=""center"" style=""width: 414.8pt; border-collapse: collapse; margin: auto 6.75pt""    tbody        tr            td valign=""top"" width=""155"" style=""border-top: #f0f0f0; border-right: #f0f0f0; width: 77.75pt; background: rgb(214,227,188); border-bottom: #f0f0f0; padding-bottom: 0pt; padding-top: 0pt; padding-left: 5.4pt; border-left: #f0f0f0; padding-right: 5.4pt""            div style=""text-align: left; margin: 0pt""span style=""font-size: 10.5pt""Session VII/span            "
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2017-12-08(Friday)09:00-12:00,XMU-Monash Faculty,                    ,XMU-Monash Workshop,C208,"                                                                table align=""center"" style=""width: 414.8pt; border-collapse: collapse""    tbody        tr            td valign=""top"" width=""155"" style=""border-top: #f0f0f0; border-right: #f0f0f0; width: 77.75pt; background: rgb(214,227,188); border-bottom: #f0f0f0; padding-bottom: 0pt; padding-top: 0pt; padding-left: 5.4pt; border-left: #f0f0f0; padding-right: 5.4pt""            div style=""text-align: left; margin: 0pt""span style=""font-size: 10.5pt""Session V/span            "
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2017-12-07(Thursday)14:00-17:30,XMU-Monash Faculty,                    ,XMU-Monash Workshop ,C208,"                                                                议程如下：table align=""center"" style=""width: 414.8pt; border-collapse: collapse""    tbody        tr            td valign=""top"" width=""155"" style=""border-top: #f0f0f0; border-right: #f0f0f0; width: 77.75pt; background: rgb(214,227,188); border-bottom: #f0f0f0; padding-bottom: 0pt; padding-top: 0pt; padding-left: 5.4pt; border-left: #f0f0f0; padding-right: 5.4pt""            div style=""text-align: left; margin: 0pt""span style=""font-size: 10.5pt""Session III/span            "
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2017-12-07(Thursday)09:00-12:10,XMU-Monash Faculty,                    ,XMU-Monash Workshop ,C208,"                                                                当日会议议程如下：div align=""center"" style=""text-align: center; margin: 0pt""bspan style=""font-size: 18pt; font-weight: bold""The 3rd Xiamen-Monash Joint Workshop on Economics Econometrics/span/bbspan style=""font-size: 18pt; font-weight: bold""&nbsp;and/span/bbspan style=""font-size: 18pt; font-weight: bold""&nbsp;Statistics/span/btable align=""center"" style=""width: 414.8pt; border-collapse: collapse""    tbody        tr            td valign=""top"" width=""211"" style=""border-top: #f0f0f0; border-right: #f0f0f0; width: 105.6pt; border-bottom: #f0f0f0; padding-bottom: 0pt; padding-top: 0pt; padding-left: 5.4pt; border-left: #f0f0f0; padding-right: 5.4pt; background-color: transparent""            div style=""text-align: left; margin: 0pt""span style=""font-size: 10.5pt""9:00-9:10/span            "
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2017-12-01(Friday)16:40-18:00,Wenxin Zhou,                                            &nbsp;CV:Upload/File/2017/11/20171120045206283.pdf,Robust estimation and inference via multiplier bootstrap,N302， Econ Building,"                                                                span style=""font-size: small;""span lang=""EN-US"" style=""font-family: 'Times New Roman', serif;""Abstract:&nbsp; Massive data are often contaminated by outliers and heavy-tailed errors. In the presence of heavy-tailed data, finite sample properties of the least squares-based methods, typified by the sample mean, are suboptimal both theoretically and empirically. To address this challenge, we propose the adaptive Huber regression for robust estimation and inference. The key observation is that the robustification parameter should adapt to sample size, dimension and moments for optimal tradeoff between bias and robustness. For heavy-tailed data with bounded (/span/spanspan lang=""EN-US"" style=""font-size: 10.5pt; font-family: Calibri, sans-serif; position: relative; top: 2.5pt;""v:shapetype id=""_x0000_t75"" coordsize=""21600,21600"" o:spt=""75"" o:preferrelative=""t"" path=""m@4@5l@4@11@9@11@9@5xe"" filled=""f"" stroked=""f""v:stroke joinstyle=""miter""v:formulasv:f eqn=""if lineDrawn pixelLineWidth 0""v:f eqn=""sum @0 1 0""v:f eqn=""sum 0 0 @1""v:f eqn=""prod @2 1 2""v:f eqn=""prod @3 21600 pixelWidth""v:f eqn=""prod @3 21600 pixelHeight""v:f eqn=""sum @0 0 1""v:f eqn=""prod @6 1 2""v:f eqn=""prod @7 21600 pixelWidth""v:f eqn=""sum @8 21600 0""v:f eqn=""prod @7 21600 pixelHeight""v:f eqn=""sum @10 21600 0""/v:f/v:f/v:f/v:f/v:f/v:f/v:f/v:f/v:f/v:f/v:f/v:f/v:formulasv:path o:extrusionok=""f"" gradientshapeok=""t"" o:connecttype=""rect""o:lock v:ext=""edit"" aspectratio=""t""/o:lock/v:path/v:stroke/v:shapetypev:shape id=""_x0000_i1025"" type=""#_x0000_t75"" style=""width:24.75pt; height:12pt""v:imagedata src=""file:///C:\Users\dell\AppData\Local\Temp\msohtmlclip1\01\clip_image001.png"" o:title="""" chromakey=""white""/v:imagedata/v:shape/spanspan style=""font-size: small;""span lang=""EN-US"" style=""font-family: 'Times New Roman', serif;"")-th moment for some /span/spanspan lang=""EN-US"" style=""font-size: 10.5pt; font-family: Calibri, sans-serif; position: relative; top: 2.5pt;""v:shape id=""_x0000_i1025"" type=""#_x0000_t75"" style=""width:25.5pt;height:12pt""v:imagedata src=""file:///C:\Users\dell\AppData\Local\Temp\msohtmlclip1\01\clip_image002.png"" o:title="""" chromakey=""white""/v:imagedata/v:shape/spanspan style=""font-size: small;""span lang=""EN-US"" style=""font-family: 'Times New Roman', serif;"", we establish a sharp phase transition for robust estimation of regression parameters in both finite dimensional and high dimensional settings: when /span/spanspan lang=""EN-US"" style=""font-size: 10.5pt; font-family: Calibri, sans-serif; position: relative; top: 2.5pt;""v:shape id=""_x0000_i1025"" type=""#_x0000_t75"" style=""width:25.5pt;height:12pt""v:imagedata src=""file:///C:\Users\dell\AppData\Local\Temp\msohtmlclip1\01\clip_image003.png"" o:title="""" chromakey=""white""/v:imagedata/v:shape/spanspan style=""font-size: small;""span lang=""EN-US"" style=""font-family: 'Times New Roman', serif;"", the estimator achieves sub-Gaussian rate of convergence without sub-Gaussian assumptions, while only a slower rate is available in the regime /span/spanspan lang=""EN-US"" style=""font-size: 10.5pt; font-family: Calibri, sans-serif; position: relative; top: 2.5pt;""v:shape id=""_x0000_i1025"" type=""#_x0000_t75"" style=""width:45pt;height:12pt""v:imagedata src=""file:///C:\Users\dell\AppData\Local\Temp\msohtmlclip1\01\clip_image004.png"" o:title="""" chromakey=""white""/v:imagedata/v:shape/spanspan style=""font-size: small;""span lang=""EN-US"" style=""font-family: 'Times New Roman', serif;""&nbsp;and the transition is smooth and optimal./span  /spanp class=""MsoNormal""span style=""font-size: small;""span lang=""EN-US"" style=""font-family: 'Times New Roman', serif;""&nbsp;/spanspan lang=""EN-US"" style=""font-family: 'Times New Roman', serif;""In addition, non-asymptotic Bahadur representation and Wilks&rsquo; expansion for finite sample inference are derived when higher moments exist. Based on these results, we make a further step on developing uncertainty quantification methodologies, including the construction of confidence sets and large-scale simultaneous hypothesis testing. We demonstrate that the adaptive Huber regression, combined with the multiplier bootstrap procedure, provides a useful robust alternative to the method of least squares. The idea of adaptivity is to let data, which are probably collected with low quality and exhibit heavy tails, to influence the choice of method by which they are analyzed. Together, the theoretical and empirical results reveal the effectiveness of the proposed method, and highlight the importance of having statistical methods that are robust to violations of the assumptions underlying their use./span/spanspan lang=""EN-US"" style=""font-family:&quot;Times New Roman&quot;,serif""o:p/o:p/span"
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2017-11-30(Thursday)16:40-18:00,Kohei Kawamura,"                                            Professor, Graduate School of Economics, Faculty of Political Science and Economics, Waseda University. His fields of specialization include Contract Theory, Industrial Organization, Game Theory, Corporate Governance.Please find Prof. Kawamura's CV for more information.",A Simple Theory of Media,"N302, Econ Building","                                                                We study a model of endogenously repeated cheap talk in a Markovian environment. In each period, the uninformed party (the receiver, i.e. the public/readers) can consult the informed party (the sender, i.e. the media) at a cost. The sender, who is driven by profits, has an incentive to generate uncertainty in order to encourage future consultation. We find that both the sender and receiver can benefit from a higher cost of consultation, which dampens the sender's responsiveness to uncertainty and allows him to commit to similar likelihood of (re)consultation conditional on different messages, thereby reducing the sender's incentive to misreport."
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2017-11-28(Tuesday)16:40-18:00,Mingzhu Tai,"                                            Mingzhu Tai joined HKU after receiving her Ph. D in Business Economics from Harvard University in 2017.&nbsp;Mingzhu's research interests mainly include consumer and household finance, financial intermediation and general corporate finance. She is currently working to understand the relationship between banks, real estate markets, financial regulations, and credit activities by consumers and businesses.",House prices and the allocation of consumer credit,"N302, Econ Building","                                                                It is well documented that the housing boom of the early 2000s fueled credit expansion among homeowners. Less attention has been paid to the effects of the housing boom on renters, who make up over 30% of US households. In this paper, I use detailed credit information from a sample of almost 500,000 US consumers to show that house price growth reduced renter credit access during the last housing boom. In particular, banks reduced non-mortgage credit supply when they expanded mortgage lending to homeowners. As a consequence, renters living in locations where banks had more (national) geographic exposure to the housing boom ended up borrowing less but defaulting more. The results are especially pronounced in locations with stronger credit market frictions, as measured by local banks' mortgage retention probability and balance sheet liquidity, or bank cost of funds in the local market. The effects of the housing boom on the borrowing and default behavior of renters persisted during the subsequent recession. This research suggests that policies affecting house prices and mortgage financing have broader implications for less well-off households that do not own a home."
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2017-11-27(Monday)16:40-18:10,马弘 ,                    ,Trade and Minimum Wages in General Equilibrium:Theory and Evidence,经济楼N座302,"                                                                This paper develops a new heterogeneous firm model under perfect competition in a Heckscher-br /Ohlin setting. It shows that a binding minimum wage raises product prices, encourages substitutionbr /away from labor, and creates unemployment. Less obviously, it reduces output andbr /exports of the labor intensive good, despite the price increase, and selection in the labor (capital)br /intensive sector becomes stricter (weaker). Migration from rural areas increases if laborbr /demand is inelastic, but decreases otherwise. Exploiting rich regional variation in minimumbr /wage across Chinese prefectures we find robust evidence of these effects using Chinese Customsbr /data matched with firm level production data."
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2017-11-24(Friday)12:30-13:30,Xinjue Li,                                            PhD student at WISE.,Dynamic adaptive method with application in forecasting Chinese CPI inf...,"N302, Econ Building","                                                                There is much evidence of structural changes in macroeconomic and financial data such that forecast accuracy is often sensitive to the selection of estimation windows. The local adaptive method (LAM) selects local homogeneous intervals through a backward testing procedure on a set of nested intervals, which is proved to be excellent in forecasting in many cases due to parameter stability. However, the LAM may not efficiently utilize pre-break information when a recently detected break is small. We design a dynamic adaptive method (DAM) with cross-validation on multiple sets of nested intervals. The DAM ensures the possibility of selecting longer intervals under small breaks or smooth changes to increase information efficiency, thus to improve the balance between bias and variance. Our simulation study shows that the DAM outperforms alternative methods, including the LAM, the rolling window selection method of Inoue et al. (2017), the pooled forecast of Pesaran and Timmermann (2007) and the ex-post best rolling window. A forecast application on the Chinese CPI inflation not only demonstrates its superiority with respect to the alternative methods, but also beats a well-known survey forecast.&nbsp;!--EndFragment--"
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2017-11-23(Thursday)16:40-18:00,Benteng Zou,"                                            Associate Professor in Economics, CREA- University of Luxembourg. He holds two Ph.Ds (mathematics and economics). His research interests lie in the broad area of theory and application of Optimal Control Theory and Dynamics Games with focus on foreign direct investment and technology spillover, transboundary pollution and strategic choices for different players, dynamic fiscal competition and international migration study, and many others. &nbsp;Please see Prof. Zou's CV for more information.of. Zou's CV for more information.",To Migrate With or Without Ones' Children in China - That is the  Quest...,"N302, Econ Building","                                                                Where should Chinese internal migrant parents locate their school-aged children: migrate with them or leave them behind? And should they invest in private education of their children? &nbsp; First, we theoretically investigate whether migrant parents can afford to take their children to migrate, regardless of the children's age. &nbsp;Using an overlapping generation&rsquo;s model, we find a theoretical optimum that maximizes parents' utility which includes the children's educational performance. Depending on the educational investment parents make and the relocation cost of children, we provide necessary and sufficient conditions for migrant parents to take their children to migrate and whether they should provide their children with private education. Secondly, we investigate weather migrant children&rsquo;s school performances are better than those of the left-behind ones. &nbsp;Empirical evidence based on the 2009 wave of the Rural-Urban Migration Survey in China (RUMiC) data suggests that younger migrant children's school performances are better than those of left-behind children. This gap disappears with the age of the children. &nbsp;&nbsp;"
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2017-11-23(Thursday)16:40-18:00,"Peter Song, University of Michigan",                                            &nbsp;CV:&nbsp;Upload/File/2017/11/20171117033400673.pdf,The Mystical Force of Generalized Method of Moments in Big Data Analyti...,"D236, Econ Building","                                                                span style=""font-size: small;""span style=""font-family: Arial;""&nbsp;Abstract:/span/spanspan style=""font-size: small;""span style=""font-family: Arial;""span lang=""EN-US""This article is to discuss the role of generalize method of moments (GMM) in parameter estimation and&nbsp;statistical inference along with the strategy of divide-and-combine for Big Data analysis. As an effective inferential tool, Efron's confidence distribution (CD) has attracted a surge of renewed attention. The essence in constructing confidence distribution pertains to the availability of suitable pivotal quantities, which are usually obtained from the (asymptotic) distribution of point maximum likelihood estimator. We propose to use inference function, from which the parameter is obtained, as the basis of constructing the pivotal. The proposed method, termed as merged estimating function analytics (MEFA), inherits several advantages of inference function over the traditional likelihood reduced score function. We show that the proposed MEFA is a special case of the generalized method of moments (GMM). Thus, MEFA, which includes maximum likelihood estimation as a special case, provides us a unified framework for many kinds of statistic methods, which is illustrated via numerical examples in the context of divide-and-combine approaches to Big Data analysis. &nbsp;/span/span/span"
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2017-11-22(Wednesday)12:30-13:30,Shihe Fu,"                                            Professor of Economics, Wang Yanan Institute for Studies in Economics and the School of Economics, Xiamen University",Air Pollution and Manufacturing Firm Productivity: Nationwide Estimates...,"N302, Econ Building","                                                                We provide nationwide estimates of air pollution&rsquo;s effect on short-run labor productivity for manufacturing firms in China from 1998 to 2007. An emerging literature estimates air pollution&rsquo;s effects on labor productivity but only for small groups of workers of particular occupations or firms. To provide more comprehensive estimates necessary for policy analysis, we estimate effects for all but some small firms (90% of China&rsquo;s manufacturing output) and capture all channels by which pollution influences productivity. We instrument for reverse causality between pollution and output using thermal inversions.br /br /Our causal estimates imply that a one ??g/m3 decrease in PM2.5 (SO2) increases labor productivity by 0.011% (0.036%) with an elasticity of -0.58 (-0.54). Lowering PM2.5 (SO2) by 1% nationwide through methods other than reducing manufacturing output would generate annual productivity increases of CNY 74.1 (69.7) thousand for the average firm and CNY 11.8 (11.1) billion or 0.079% (0.075%) of GDP across all firms. Improving air quality generates substantial productivity benefits and these should be considered in evaluating environmental regulations and their effect on firm competitiveness."
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2017-11-21(Tuesday)16:40-18:10,Benteng Zou ,                                            Upload/File/2017/11/20171120101853646.pdf,Optimal Income Taxation for the Alleviation of Working Poverty When Dom...,经济楼N座302,"                                                                Abstract The increase in income needed for working households to escape relative poverty may be achieved either by their supplying more hours of paid work on the labor market, or by policy makers adjusting income taxation, minimum wages, and social transfers targeted at such households. While the literature has paid considerable attention to the other two policy instruments, theoretical work on how income taxation could minimize working poverty is scarce. Our study aims to fill this gap. Unlike the traditional optimal income taxation literature, which considers that households allocate time only between consumption and leisure, we explicitly model the decision of households as including domestic work, which is a social contribution and should be rewarded. This new framework highlights (i) the importance of emphasizing the difference between domestic work and real leisure and, (ii) the policy implications of non-market time allocation.br /br clear=""all"" /&nbsp;"
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2017-11-20(Monday)16:40-18:00,Yixiao Sun,"                                            Professor at Department of Economics, University of California, San Diego. He earned his PhD of Economics from Yale Univerisity. His research fields include Econometric Theory and Applied Econometrics. He has published several articles in Econometrica, Journal of Econometrics, &nbsp;Review of Economics and Statistics , and other top academic journals.Please see Prof. Sun's CV for more information.",Three in One: a Unified Estimator of Average Treatment Effects,"N302, Econ Building","                                                                We consider estimating average treatment effects under the unconfoundedness and overlap assumptions. We introduce a method to integrate the three conventional estimators --- the regression adjustment estimator, the inverse probability weighting (IPW) estimator, and the doubly robust (DR) estimator --- into a single three-in-one (TIO) estimator. The TIO estimator is all three of them: it is a regression estimator, an IPW estimator, and a DR estimator. From an empirical point of view, this removes the burden from having to choose one of the three estimators. In finite samples, the TIO estimator outperforms the three conventional estimators."
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2017-11-17(Friday)16:40-18:00,Sukjin Han,"                                            Assistant Professor at Department of Economics from University of Texas at Austin, Visiting Assistant Professor at Yale University. Prof. Han earned his PhD in Economics from Yale University, his research interests include Econometric Theory and Applied Econometrics.Please see Prof. Han's CVfor more information.",Multiple Treatments with Strategic Interaction,"D235, Econ Building","                                                                We develop an empirical framework in which we identify and estimate the effects of treatments on outcomes of interest when the treatments are results of strategic interaction (e.g., bargaining, oligopolistic entry, decisions in the presence of peer effects). We consider a model where agents play a discrete game with complete information whose equilibrium actions (i.e., binary treatments) determine a post-game outcome in a nonseparable model with endogeneity. Due to the simultaneity in the first stage, the model as a whole is incomplete and the selection process fails to exhibit the conventional monotonicity. Without imposing parametric restrictions or large support assumptions, this poses challenges in recovering treatment parameters. To address these challenges, we first analytically characterize regions that predict equilibria in the ?rst-stage game with possibly more than two players, whereby we ?nd a certain monotonic pattern of these regions. Based on this ?nding, we derive bounds on the average treatment effects (ATE&rsquo;s) under nonparametric shape restrictions and the existence of excluded variables. We also introduce and point identify a multi-treatment version of local average treatment effects (LATE&rsquo;s)."
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2017-11-16(Thursday)16:40-18:00,Eik Swee,"                                            Senior Lecturer(with tenure) at Department of Economics, University of Melbourne. He earned his PhD of Economics from University of Toronto in 2010. His research fields include Development Economics, Political Economics, Economics of Conflict and Applied Microeconomics.Please see Prof. Swee's CV for more information.",Is Happiness Really a Warm Gun? The Consequences of US Weapons Sales fo...,"N302, Econ Building",                                                                We exploit exogenous shifts in the cost of purchasing commercial weapons from the U.S. to uncover the causal effect of U.S. weapons purchases on political violence. We find that weapons purchases reduce the likelihood of political repression but increase the likelihood of onset of civil war in purchasing countries. The results suggest that state investment in military capability incites civil war in countries where state repression of an aggrieved opposition would have otherwise prevailed.&nbsp;
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2017-11-15(Wednesday)12:30-13:30,Li Chen,"                                            Assistant Professor at Wang Yanan Institute for Studies in Economics (WISE) and Department of Finance, School of Economics, Xiamen University",Common features and common trends: an application to global temperature...,"N302, Econ Building",                                                                
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2017-11-14(Tuesday)16:40-18:00,Yaxuan Qi,"                                            Associate Professor at Department of Economics and Finance, City University of Hong Kong. Prof. Qi received her PhD at the Rutgers University in New Jersey, United States. Prior to joining the City University&nbsp;of Hong Kong, she was an Associate Professor at the Department of Finance,&nbsp;Concordia University, Canada.Please see Prof. Qi's persenal webpage for more information.&nbsp;https://www.cb.cityu.edu.hk/staff/yaxuanqi/&nbsp;",Does Expected Bond Liquidity Affect Financial Contracts?,"D235, Econ Building","                                                                This paper shows that bond market liquidity plays an important role in determining corporate debt contracts. We find that bonds with better expected market liquidity are issued with fewer restrictive covenants, longer maturities, and lower offering yield spreads. These results are robust to a quasi-natural experiment using the implementation of TRACE as an exogenous shock to bond market liquidity, and an instrumental variable regression controlling for the endogeneity of bond liquidity. Further investigation shows that the effect of liquidity is more pronounced in firms subject to more credit supply frictions, firms with poorer credit ratings and more rollover risk, and firms relying more on debt financing.&nbsp;"
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2017-11-13(Monday)16:40-18:10,Hamori Shigeyuki,                    ,Interdependence between oil and East Asian stock markets: Evidence from...,经济楼N302,                                                                
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2017-11-10(Friday)12:30-13:30,Andrew Adrian Pua,"                                            Assistant Professor at Wang Yanan Institute for Studies in Economics (WISE) and Department of Statistics, School of Economics,&nbsp;Xiamen University",Should we use IV to estimate dynamic linear probability models with fix...,"N302, Econ Building","                                                                Researchers have applied linear panel data methods to estimate binary choice models while allowing for individual-specific unobserved heterogeneity and dynamics either to provide empirical findings or to demonstrate the robustness of their empirical results. This leads to IV/GMM/OLS estimation of a dynamic linear probability model (LPM) with fixed effects. In this paper, I give a set of pros and cons of this procedure using explicit analytical results, some simulations, and an empirical application. I find that this procedure should be treated with caution, especially in fixed- T settings. In large-T settings, existing procedures cannot be directly applied. As a consequence, I give guidance as to what choices researchers should make in both these settings."
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2017-11-10(Friday)12:30-13:30,Anpeng Li,                                            Li Anpeng is a fourth year PhD candidate in the Australian National University. His research interest is firm dynamics and productivity in emerging economies. He is particularly interested in Chinese issues.,Technical Progress and Allocative Inefficiency,"N303, Econ Building","                                                                I develop a growth model with heterogeneous firms to study the allocative inefficiency in emerging economies. The model economy learns new technology from the world frontier, and reallocates resources to fit the technological change. When a firm starts to catch up the frontier, it faces the uncertainty of future technical progress, and delays the adjustment of production factors as a response. The delayed adjustment generates allocative inefficiency in the early stage of development. Then, technological achievement narrows the gap to the frontier, reduces the future uncertainty, and improves the efficiency. Finally, the economy reaches an more efficient distribution again in the new steady state. The model suggests that the cross-country difference in allocative efficiency can be a byproduct of the different stages of development."
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2017-11-09(Thursday)12:30-13:30,Yu-Chin Hsu,"                                            Associate Research Fellow at Institute of Economics, Academia Sinica. He earned his PhD of Economics from University of Texas at Austin. His research fields of speacializtion is Economeric theory.Please see Prof. Hsu's CV for more information.",Testing Treatment Effect Heterogeneity in Regression Discontinuity Desi...,"N302, Econ Building","                                                                Treatment effect heterogeneity is frequently studied in regression discontinuity (RD) applications. This paper proposes, under the RD setup, the first set of formal tests for treatment effect heterogeneity among subpopulations with different characteristics. The proposed tests study whether a policy treatment is 1) beneficial for at least some subpopulations defined by covariate values, 2) has any impact on at least some subpopulations, and 3) has a heterogeneous impact across subpopulations. Monte Carlo simulations show good small sample performance of the proposed tests. The empirical section applies the tests to study the impact of attending a better high school and discover interesting patterns of treatment effect heterogeneity neglected by previous studies."
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2017-11-08(Wednesday)12:30-13:30,Linlin Niu,"                                            &nbsp;Associate Professor at Wang Yanan Institute for Studies in Economics (WISE), Xiamen University",Flight to relative safety: Learning from a noarbitrage network of yield...,"N302, Econ Building",                                                                
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2017-11-07(Tuesday)16:40-18:00,Xiaolei Liu,"                                            Laura Xiaolei Liu is Professor of Finance and Accounting at Guanghua School of Management, Peking University. She received her PhD from University of Rochester. Her PhD thesis was awarded the Best Corporate Finance Paper Award at Western Finance Association conference and the Best PhD Paper Award at Southwestern Finance Association conference. Her research interest is capital markets and empirical corporate finance. Her work has been published in leading academic journals including Journal of Political Economy, Journal of Finance, Review of Financial Studies, Journal of Monetary Economics, and Management Science. Before joining Guanghua, Professor Liu was an associate professor with tenure at Hong Kong University of Science and Technology. In 2011, she visited Cheung Kong Graduate School of Business where she taught Private Equity Financing.",A Tale of Three Channels: The Real Estate Boom and Firm  Investment in ...,"N302, Econ Building","                                                                We analyze how the ongoing real estate boom in China affects firm investment. In addition to the widely documented collateral channel, we also uncover two other channels: the speculation channel&mdash;rapidly rising commercial and residential land prices induce land-holding firms, which have access to financing, to buy more land; and the crowding out channel&mdash;the increased land investments by land-holding firms crowd out not only their non-land investments and innovation activities but also bank financing to non-land-holding firms. Netting out these channels, a 100-percent increase in commercial land prices leads to an estimated loss of 9.5 percent to aggregate TFP due to misallocation of capital. Our findings caution a widely-held view that real estate booms help to mitigate firms&rsquo; financing constraints and thus boost the economy by stimulating firm investment."
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
